nn compound,DEV/TEST, pos, neg, neu, noun1, noun1.pos, noun1.neg, noun1.neu, noun2, noun2.pos, noun2.neg, noun2.neu
credit accounts,DEV,0.05,0.05,0.9, credit,0.45,0.0,0.55, accounts,0.05,0.0,0.95
credit approval,DEV,0.85,0.0,0.15, credit,0.45,0.0,0.55, approval,0.95,0.0,0.05
credit card,DEV,0.0,0.05,0.95, credit,0.45,0.0,0.55, card,0.15,0.0,0.85
dairy products,DEV,0.35,0.0,0.65, dairy,0.1,0.0,0.9, products,0.1,0.0,0.9
downtown manufacturers,DEV,0.1,0.0,0.9, downtown,0.1,0.0,0.9, manufacturers,0.1,0.0,0.9
dress codes,DEV,0.0,0.25,0.75, dress,0.3,0.0,0.7, codes,0.05,0.0,0.95
education process,DEV,0.55,0.0,0.45, education,0.65,0.0,0.35, process,0.05,0.0,0.95
engagement partner,DEV,0.65,0.0,0.35, engagement,0.666666666667,0.0,0.333333333333, partner,0.35,0.0,0.65
environment people,DEV,0.45,0.0,0.55, environment,0.05,0.0,0.95, people,0.2,0.0,0.8
factory settings,DEV,0.05,0.05,0.9, factory,0.2,0.0,0.8, settings,0.0,0.0,1.0
family members,DEV,0.65,0.0,0.35, family,0.8,0.0,0.2, members,0.05,0.0,0.95
family tradition,DEV,0.7,0.0,0.3, family,0.8,0.0,0.2, tradition,0.8,0.0,0.2
farming businesses,DEV,0.35,0.0,0.65, farming,0.3,0.0,0.7, businesses,0.2,0.0,0.8
field work,DEV,0.2,0.05,0.75, field,0.0,0.0,1.0, work,0.4,0.0,0.6
fifo method,DEV,0.05,0.15,0.8, fifo,0.1,0.0,0.9, method,0.05,0.0,0.95
food source,DEV,0.55,0.0,0.45, food,0.7,0.0,0.3, source,0.2,0.0,0.8
food supplies,DEV,0.5,0.0,0.5, food,0.7,0.0,0.3, supplies,0.15,0.0,0.85
grant date,DEV,0.4,0.0,0.6, grant,0.65,0.0,0.35, date,0.25,0.0,0.75
health advice,DEV,0.85,0.0,0.15, health,0.6,0.0,0.4, advice,0.4,0.0,0.6
health care,DEV,0.6,0.1,0.3, health,0.6,0.0,0.4, care,0.95,0.0,0.05
heart muscles,DEV,0.25,0.0,0.75, heart,0.75,0.0,0.25, muscles,0.4,0.0,0.6
home value,DEV,0.2,0.0,0.8, home,0.35,0.0,0.65, value,0.65,0.0,0.35
imagination power,DEV,0.95,0.0,0.05, imagination,0.619047619048,0.0,0.380952380952, power,0.6,0.0,0.4
immunization programs,DEV,0.55,0.0,0.45, immunization,0.6,0.0,0.4, programs,0.15,0.0,0.85
income recognition,DEV,0.575,0.025,0.4, income,0.6,0.0,0.4, recognition,0.8,0.0,0.2
income statement,DEV,0.35,0.05,0.6, income,0.6,0.0,0.4, statement,0.0,0.0,1.0
information technology,DEV,0.35,0.0,0.65, information,0.3,0.0,0.7, technology,0.2,0.0,0.8
inventory items,DEV,0.2,0.05,0.75, inventory,0.3,0.0,0.7, items,0.05,0.0,0.95
inventory method,DEV,0.15,0.0,0.85, inventory,0.3,0.0,0.7, method,0.05,0.0,0.95
inventory valuation,DEV,0.05,0.05,0.9, inventory,0.3,0.0,0.7, valuation,0.25,0.0,0.75
investing section,DEV,0.2,0.0,0.8, investing,0.3,0.0,0.7, section,0.047619047619,0.0,0.952380952381
investments section,DEV,0.2,0.0,0.8, investments,0.4,0.0,0.6, section,0.047619047619,0.0,0.952380952381
job offers,DEV,0.891891891892,0.027027027027,0.0810810810811, job,0.45,0.0,0.55, offers,0.55,0.0,0.45
justice system,DEV,0.4,0.15,0.45, justice,1.0,0.0,0.0, system,0.1,0.0,0.9
landmark example,DEV,0.45,0.0,0.55, landmark,0.4,0.0,0.6, example,0.2,0.0,0.8
listening section,DEV,0.3,0.0,0.7, listening,0.6,0.0,0.4, section,0.047619047619,0.0,0.952380952381
literature piece,DEV,0.25,0.05,0.7, literature,0.2,0.0,0.8, piece,0.0,0.0,1.0
management productivity,DEV,0.7,0.0,0.3, management,0.3,0.0,0.7, productivity,0.75,0.0,0.25
map makers,DEV,0.2,0.0,0.8, map,0.0,0.0,1.0, makers,0.15,0.0,0.85
matching principle,DEV,0.35,0.0,0.65, matching,0.25,0.0,0.75, principle,0.4,0.0,0.6
maturity securities,DEV,0.3,0.0,0.7, maturity,0.75,0.0,0.25, securities,0.3,0.0,0.7
north america,DEV,0.1,0.0,0.9, north,0.0,0.0,1.0, america,0.35,0.0,0.65
orante jewelry,DEV,0.3,0.0,0.7, orante,0.25,0.0,0.75, jewelry,0.45,0.0,0.55
orca population,DEV,0.15,0.05,0.8, orca,0.2,0.0,0.8, population,0.1,0.0,0.9
planning department,DEV,0.25,0.0,0.75, planning,0.45,0.0,0.55, department,0.0,0.0,1.0
reading paragraph,DEV,0.15,0.0,0.85, reading,0.2,0.0,0.8, paragraph,0.0,0.0,1.0
reading passage,DEV,0.15,0.0,0.85, reading,0.2,0.0,0.8, passage,0.05,0.0,0.95
receivables system,DEV,0.15,0.0,0.85, receivables,0.45,0.0,0.55, system,0.1,0.0,0.9
research process,DEV,0.15,0.0,0.85, research,0.3,0.0,0.7, process,0.05,0.0,0.95
retirement pension,DEV,0.45,0.0,0.55, retirement,0.55,0.0,0.45, pension,0.380952380952,0.0,0.619047619048
school career,DEV,0.35,0.0,0.65, school,0.3,0.0,0.7, career,0.35,0.0,0.65
school environments,DEV,0.3,0.05,0.65, school,0.3,0.0,0.7, environments,0.1,0.0,0.9
school newspaper,DEV,0.35,0.0,0.65, school,0.3,0.0,0.7, newspaper,0.1,0.0,0.9
school newspapers,DEV,0.238095238095,0.0,0.761904761905, school,0.3,0.0,0.7, newspapers,0.15,0.0,0.85
school paper,DEV,0.15,0.0,0.85, school,0.3,0.0,0.7, paper,0.0,0.0,1.0
sea ice,DEV,0.0,0.1,0.9, sea,0.142857142857,0.0,0.857142857143, ice,0.0,0.0,1.0
sea otters,DEV,0.380952380952,0.0,0.619047619048, sea,0.142857142857,0.0,0.857142857143, otters,0.15,0.0,0.85
sea travelling,DEV,0.3,0.0,0.7, sea,0.142857142857,0.0,0.857142857143, travelling,0.4,0.0,0.6
shopping centers,DEV,0.3,0.0,0.7, shopping,0.3,0.0,0.7, centers,0.15,0.0,0.85
shore line,DEV,0.15,0.0,0.85, shore,0.1,0.0,0.9, line,0.05,0.0,0.95
throat muscles,DEV,0.05,0.0,0.95, throat,0.0,0.0,1.0, muscles,0.4,0.0,0.6
tourism industry,DEV,0.4,0.05,0.55, tourism,0.4,0.0,0.6, industry,0.2,0.0,0.8
trading securities,DEV,0.15,0.15,0.7, trading,0.4,0.0,0.6, securities,0.3,0.0,0.7
transportation methods,DEV,0.2,0.0,0.8, transportation,0.3,0.0,0.7, methods,0.1,0.0,0.9
us constitution,DEV,0.55,0.0,0.45, us,0.25,0.0,0.75, constitution,0.45,0.0,0.55
video games,DEV,0.1,0.1,0.8, video,0.1,0.0,0.9, games,0.65,0.0,0.35
visitor action,DEV,0.3,0.0,0.7, visitor,0.15,0.0,0.85, action,0.428571428571,0.0,0.571428571429
water supply,DEV,0.5,0.0,0.5, water,0.25,0.0,0.75, supply,0.5,0.0,0.5
west coast,DEV,0.3,0.05,0.65, west,0.0,0.0,1.0, coast,0.2,0.0,0.8
yearbook teacher,DEV,0.15,0.0,0.85, yearbook,0.1,0.0,0.9, teacher,0.619047619048,0.0,0.380952380952
ymca basketball,DEV,0.5,0.0,0.5, ymca,0.45,0.0,0.55, basketball,0.285714285714,0.0,0.714285714286
business meeting,DEV,0.05,0.1,0.85, business,0.05,0.0,0.95, meeting,0.142857142857,0.047619047619,0.809523809524
government events,DEV,0.1,0.05,0.85, government,0.0,0.0,1.0, events,0.190476190476,0.047619047619,0.761904761905
shipping terms,DEV,0.15,0.05,0.8, shipping,0.047619047619,0.047619047619,0.904761904762, terms,0.0,0.0,1.0
accounting firm,DEV,0.333333333333,0.333333333333,0.333333333333, accounting,0.05,0.05,0.9, firm,0.387096774194,0.0322580645161,0.58064516129
accounting treatment,DEV,0.1,0.0,0.9, accounting,0.05,0.05,0.9, treatment,0.4,0.0,0.6
anasazi people,DEV,0.047619047619,0.0,0.952380952381, anasazi,0.05,0.05,0.9, people,0.2,0.0,0.8
base level,DEV,0.05,0.0,0.95, base,0.0,0.05,0.95, level,0.3,0.0,0.7
beach sand,DEV,0.380952380952,0.0,0.619047619048, beach,0.4,0.0,0.6, sand,0.0,0.05,0.95
bone structure,DEV,0.5,0.0,0.5, bone,0.15,0.05,0.8, structure,0.15,0.05,0.8
brain function,DEV,0.380952380952,0.0,0.619047619048, brain,0.2,0.0,0.8, function,0.25,0.05,0.7
broccoli salad,DEV,0.2,0.0,0.8, broccoli,0.25,0.05,0.7, salad,0.35,0.0,0.65
business place,DEV,0.15,0.0,0.85, business,0.05,0.0,0.95, place,0.1,0.05,0.85
catalog price,DEV,0.05,0.1,0.85, catalog,0.05,0.05,0.9, price,0.05,0.05,0.9
city center,DEV,0.285714285714,0.0,0.714285714286, city,0.05,0.05,0.9, center,0.15,0.0,0.85
company profitability,DEV,0.809523809524,0.047619047619,0.142857142857, company,0.2,0.05,0.75, profitability,0.9,0.0,0.1
completeness assertion,DEV,0.3,0.0,0.7, completeness,0.809523809524,0.0,0.190476190476, assertion,0.3,0.05,0.65
consolidation process,DEV,0.15,0.05,0.8, consolidation,0.4,0.05,0.55, process,0.05,0.0,0.95
course outlines,DEV,0.25,0.0,0.75, course,0.05,0.05,0.9, outlines,0.2,0.0,0.8
course webpage,DEV,0.0833333333333,0.0277777777778,0.888888888889, course,0.05,0.05,0.9, webpage,0.0,0.0,1.0
employment decisions,DEV,0.1,0.1,0.8, employment,0.75,0.0,0.25, decisions,0.2,0.05,0.75
experience requirements,DEV,0.1,0.1,0.8, experience,0.55,0.0,0.45, requirements,0.05,0.05,0.9
farm income,DEV,0.65,0.0,0.35, farm,0.2,0.05,0.75, income,0.6,0.0,0.4
fitness program,DEV,0.5,0.0,0.5, fitness,0.7,0.0,0.3, program,0.15,0.05,0.8
food chain,DEV,0.1,0.05,0.85, food,0.7,0.0,0.3, chain,0.1,0.05,0.85
franchise company,DEV,0.2,0.15,0.65, franchise,0.3,0.05,0.65, company,0.2,0.05,0.75
fur coat,DEV,0.1,0.2,0.7, fur,0.05,0.05,0.9, coat,0.1,0.0,0.9
government authorities,DEV,0.0,0.25,0.75, government,0.0,0.0,1.0, authorities,0.15,0.05,0.8
health condition,DEV,0.1,0.5,0.4, health,0.6,0.0,0.4, condition,0.0,0.05,0.95
installment agreement,DEV,0.2,0.1,0.7, installment,0.35,0.05,0.6, agreement,0.95,0.05,0.0
installment sale,DEV,0.238095238095,0.0,0.761904761905, installment,0.35,0.05,0.6, sale,0.6,0.0,0.4
inventory amount,DEV,0.1,0.0,0.9, inventory,0.3,0.0,0.7, amount,0.15,0.05,0.8
ledger balance,DEV,0.1,0.15,0.75, ledger,0.1,0.05,0.85, balance,0.65,0.0,0.35
market price,DEV,0.15,0.05,0.8, market,0.1,0.0,0.9, price,0.05,0.05,0.9
math skills,DEV,0.6,0.05,0.35, math,0.1,0.05,0.85, skills,0.65,0.0,0.35
measurement requirements,DEV,0.05,0.1,0.85, measurement,0.1,0.0,0.9, requirements,0.05,0.05,0.9
operating controls,DEV,0.142857142857,0.0,0.857142857143, operating,0.2,0.0,0.8, controls,0.1,0.05,0.85
plumbing materials,DEV,0.1,0.0,0.9, plumbing,0.0,0.05,0.95, materials,0.1,0.0,0.9
recycling program,DEV,0.6,0.0,0.4, recycling,0.8,0.0,0.2, program,0.15,0.05,0.8
reporting requirements,DEV,0.05,0.15,0.8, reporting,0.15,0.05,0.8, requirements,0.05,0.05,0.9
rescue effort,DEV,0.95,0.0,0.05, rescue,0.95,0.05,0.0, effort,0.55,0.0,0.45
sales goals,DEV,0.5,0.0,0.5, sales,0.45,0.05,0.5, goals,0.9,0.0,0.1
sales method,DEV,0.15,0.0,0.85, sales,0.45,0.05,0.5, method,0.05,0.0,0.95
sales person,DEV,0.1,0.05,0.85, sales,0.45,0.05,0.5, person,0.15,0.0,0.85
sales representatives,DEV,0.1,0.05,0.85, sales,0.45,0.05,0.5, representatives,0.2,0.0,0.8
satellite television,DEV,0.0952380952381,0.0,0.904761904762, satellite,0.0952380952381,0.0,0.904761904762, television,0.15,0.05,0.8
shopping malls,DEV,0.25,0.05,0.7, shopping,0.3,0.0,0.7, malls,0.15,0.05,0.8
stock options,DEV,0.5,0.0,0.5, stock,0.15,0.05,0.8, options,0.3,0.0,0.7
stone tower,DEV,0.05,0.0,0.95, stone,0.0,0.05,0.95, tower,0.05,0.0,0.95
subsidiary records,DEV,0.05,0.0,0.95, subsidiary,0.15,0.05,0.8, records,0.2,0.0,0.8
tag number,DEV,0.1,0.0,0.9, tag,0.0,0.05,0.95, number,0.05,0.0,0.95
television programmers,DEV,0.2,0.0,0.8, television,0.15,0.05,0.8, programmers,0.25,0.0,0.75
television shows,DEV,0.2,0.05,0.75, television,0.15,0.05,0.8, shows,0.15,0.0,0.85
test counts,DEV,0.1,0.05,0.85, test,0.05,0.05,0.9, counts,0.25,0.0,0.75
test score,DEV,0.15,0.05,0.8, test,0.05,0.05,0.9, score,0.3,0.0,0.7
tourist action,DEV,0.45,0.0,0.55, tourist,0.3,0.05,0.65, action,0.428571428571,0.0,0.571428571429
viola lessons,DEV,0.5,0.0,0.5, viola,0.15,0.0,0.85, lessons,0.35,0.05,0.6
class schedules,DEV,0.2,0.0,0.8, class,0.0952380952381,0.0952380952381,0.809523809524, schedules,0.25,0.0,0.75
lifo methodology,DEV,0.047619047619,0.047619047619,0.904761904762, lifo,0.047619047619,0.0952380952381,0.857142857143, methodology,0.15,0.0,0.85
product pricing,DEV,0.0,0.1,0.9, product,0.35,0.0,0.65, pricing,0.0952380952381,0.0952380952381,0.809523809524
quality control,DEV,0.85,0.0,0.15, quality,0.85,0.0,0.15, control,0.142857142857,0.0952380952381,0.761904761905
speed regulations,DEV,0.15,0.1,0.75, speed,0.05,0.05,0.9, regulations,0.0952380952381,0.0952380952381,0.809523809524
advertising executives,DEV,0.142857142857,0.142857142857,0.714285714286, advertising,0.3,0.1,0.6, executives,0.15,0.0,0.85
bank reconciliation,DEV,0.52380952381,0.0952380952381,0.380952380952, bank,0.15,0.1,0.75, reconciliation,0.85,0.0,0.15
company profile,DEV,0.0,0.0,1.0, company,0.2,0.05,0.75, profile,0.15,0.1,0.75
diving board,DEV,0.181818181818,0.0,0.818181818182, diving,0.1,0.05,0.85, board,0.1,0.1,0.8
entity grants,DEV,0.4,0.05,0.55, entity,0.1,0.1,0.8, grants,0.65,0.0,0.35
held-to-maturity securities,DEV,0.3,0.0,0.7, held-to-maturity,0.3,0.1,0.6, securities,0.3,0.0,0.7
library use,DEV,0.4,0.0,0.6, library,0.4,0.0,0.6, use,0.25,0.1,0.65
media coverage,DEV,0.0952380952381,0.047619047619,0.857142857143, media,0.05,0.1,0.85, coverage,0.35,0.0,0.65
megapolis region,DEV,0.05,0.15,0.8, megapolis,0.05,0.1,0.85, region,0.05,0.0,0.95
odyssey corporation,DEV,0.0,0.0,1.0, odyssey,0.1,0.1,0.8, corporation,0.1,0.0,0.9
office premises,DEV,0.05,0.0,0.95, office,0.05,0.1,0.85, premises,0.0,0.0,1.0
property use,DEV,0.25,0.0,0.75, property,0.05,0.0,0.95, use,0.25,0.1,0.65
replacement materials,DEV,0.4,0.05,0.55, replacement,0.05,0.1,0.85, materials,0.1,0.0,0.9
testing plan,DEV,0.3,0.0,0.7, testing,0.15,0.1,0.75, plan,0.4,0.0,0.6
water slide,DEV,0.45,0.0,0.55, water,0.25,0.0,0.75, slide,0.1,0.1,0.8
user rating,DEV,0.2,0.0,0.8, user,0.05,0.125,0.825, rating,0.25,0.0,0.75
capital leases,DEV,0.142857142857,0.142857142857,0.714285714286, capital,0.47619047619,0.0,0.52380952381, leases,0.05,0.15,0.8
court matters,DEV,0.0,0.25,0.75, court,0.1,0.15,0.75, matters,0.1,0.0,0.9
drinking water,DEV,0.35,0.0,0.65, drinking,0.05,0.15,0.8, water,0.25,0.0,0.75
gay marriages,DEV,0.3,0.0,0.7, gay,0.15,0.15,0.7, marriages,0.5,0.0,0.5
lease terms,DEV,0.05,0.1,0.85, lease,0.05,0.15,0.8, terms,0.0,0.0,1.0
loan transactions,DEV,0.15,0.05,0.8, loan,0.2,0.15,0.65, transactions,0.1,0.0,0.9
book mice,DEV,0.0952380952381,0.333333333333,0.571428571429, book,0.25,0.0,0.75, mice,0.05,0.2,0.75
governement officials,DEV,0.0,0.05,0.95, governement,0.05,0.2,0.75, officials,0.15,0.0,0.85
liquor stores,DEV,0.05,0.1,0.85, liquor,0.1,0.2,0.7, stores,0.3,0.0,0.7
carbon dioxide,DEV,0.047619047619,0.285714285714,0.666666666667, carbon,0.05,0.1,0.85, dioxide,0.05,0.25,0.7
ticket selling,DEV,0.45,0.05,0.5, ticket,0.0,0.25,0.75, selling,0.25,0.05,0.7
government intervention,DEV,0.15,0.55,0.3, government,0.0,0.0,1.0, intervention,0.4,0.3,0.3
iroquois confederacy,DEV,0.15,0.2,0.65, iroquois,0.05,0.0,0.95, confederacy,0.1,0.3,0.6
lecture part,DEV,0.1,0.1,0.8, lecture,0.05,0.3,0.65, part,0.0,0.0,1.0
speed limits,DEV,0.25,0.1,0.65, speed,0.05,0.05,0.9, limits,0.05,0.3,0.65
drug use,DEV,0.0,0.888888888889,0.111111111111, drug,0.0,0.333333333333,0.666666666667, use,0.25,0.1,0.65
compensation cost,DEV,0.0952380952381,0.571428571429,0.333333333333, compensation,0.7,0.05,0.25, cost,0.0,0.35,0.65
cost factors,DEV,0.0,0.55,0.45, cost,0.0,0.35,0.65, factors,0.05,0.05,0.9
speed limit,DEV,0.35,0.05,0.6, speed,0.05,0.05,0.9, limit,0.0,0.35,0.65
auditors act,DEV,0.047619047619,0.333333333333,0.619047619048, auditors,0.0454545454545,0.363636363636,0.590909090909, act,0.238095238095,0.0,0.761904761905
food handouts,DEV,0.35,0.25,0.4, food,0.7,0.0,0.3, handouts,0.190476190476,0.380952380952,0.428571428571
bonefide creditor,DEV,0.380952380952,0.047619047619,0.571428571429, bonefide,0.65,0.0,0.35, creditor,0.05,0.4,0.55
retrograde behavior,DEV,0.05,0.7,0.25, retrograde,0.1,0.4,0.5, behavior,0.15,0.0,0.85
silk worm,DEV,0.1,0.1,0.8, silk,0.35,0.0,0.65, worm,0.0,0.4,0.6
welfare programs,DEV,0.4,0.3,0.3, welfare,0.15,0.4,0.45, programs,0.15,0.0,0.85
welfare states,DEV,0.0,0.7,0.3, welfare,0.15,0.4,0.45, states,0.0238095238095,0.0,0.97619047619
dust bowl,DEV,0.1,0.6,0.3, dust,0.0,0.45,0.55, bowl,0.0,0.0,1.0
auditing areas,DEV,0.0,0.333333333333,0.666666666667, auditing,0.05,0.5,0.45, areas,0.0,0.0,1.0
expense accrual,DEV,0.05,0.5,0.45, expense,0.0,0.5,0.5, accrual,0.55,0.0,0.45
interest expense,DEV,0.047619047619,0.47619047619,0.47619047619, interest,0.666666666667,0.0,0.333333333333, expense,0.0,0.5,0.5
lease obligation,DEV,0.1,0.45,0.45, lease,0.05,0.15,0.8, obligation,0.05,0.55,0.4
peer pressure,DEV,0.0,0.95,0.05, peer,0.25,0.0,0.75, pressure,0.0,0.55,0.45
tax bases,DEV,0.0,0.2,0.8, tax,0.0,0.55,0.45, bases,0.05,0.0,0.95
tax law,DEV,0.05,0.2,0.75, tax,0.0,0.55,0.45, law,0.05,0.05,0.9
tax money,DEV,0.1,0.35,0.55, tax,0.0,0.55,0.45, money,0.5,0.0,0.5
tax payer,DEV,0.3,0.15,0.55, tax,0.0,0.55,0.45, payer,0.272727272727,0.136363636364,0.590909090909
tax purposes,DEV,0.05,0.3,0.65, tax,0.0,0.55,0.45, purposes,0.35,0.0,0.65
tax revenues,DEV,0.4,0.15,0.45, tax,0.0,0.55,0.45, revenues,0.5,0.0,0.5
tax rules,DEV,0.0,0.45,0.55, tax,0.0,0.55,0.45, rules,0.05,0.0,0.95
tax savings,DEV,0.85,0.0,0.15, tax,0.0,0.55,0.45, savings,0.65,0.0,0.35
item omission,DEV,0.05,0.7,0.25, item,0.0,0.0,1.0, omission,0.05,0.6,0.35
yellostone fire,DEV,0.0,0.7,0.3, yellostone,0.1,0.05,0.85, fire,0.0,0.6,0.4
audit committee,DEV,0.047619047619,0.52380952381,0.428571428571, audit,0.0,0.65,0.35, committee,0.2,0.0,0.8
audit manager,DEV,0.05,0.1,0.85, audit,0.0,0.65,0.35, manager,0.15,0.0,0.85
audit staff,DEV,0.0,0.47619047619,0.52380952381, audit,0.0,0.65,0.35, staff,0.1,0.0,0.9
audit team,DEV,0.0,0.380952380952,0.619047619048, audit,0.0,0.65,0.35, team,0.35,0.0,0.65
forest fires,DEV,0.0,1.0,0.0, forest,0.35,0.05,0.6, fires,0.0,0.65,0.35
control risk,DEV,0.272727272727,0.454545454545,0.272727272727, control,0.142857142857,0.0952380952381,0.761904761905, risk,0.0,0.7,0.3
detection risk,DEV,0.05,0.65,0.3, detection,0.1,0.05,0.85, risk,0.0,0.7,0.3
media scrutiny,DEV,0.1,0.7,0.2, media,0.05,0.1,0.85, scrutiny,0.05,0.7,0.25
risk assessment,DEV,0.2,0.3,0.5, risk,0.0,0.7,0.3, assessment,0.1,0.0,0.9
storm shelters,DEV,0.55,0.0,0.45, storm,0.0,0.7,0.3, shelters,0.65,0.1,0.25
apartheid laws,DEV,0.0952380952381,0.666666666667,0.238095238095, apartheid,0.0,0.75,0.25, laws,0.25,0.0,0.75
autism spectrum,DEV,0.047619047619,0.380952380952,0.571428571429, autism,0.0,0.75,0.25, spectrum,0.25,0.0,0.75
sleep apnea,DEV,0.0,0.952380952381,0.047619047619, sleep,0.285714285714,0.0,0.714285714286, apnea,0.0,0.8,0.2
government restriction,DEV,0.0,0.9,0.1, government,0.0,0.0,1.0, restriction,0.0,0.85,0.15
heart attacks,DEV,0.0,0.95,0.05, heart,0.75,0.0,0.25, attacks,0.0,0.85,0.15
similarity collapses,DEV,0.0,0.8,0.2, similarity,0.25,0.0,0.75, collapses,0.0,0.85,0.15
accident rate,DEV,0.0,0.619047619048,0.380952380952, accident,0.0,0.95,0.05, rate,0.05,0.0,0.95
hunger pains,DEV,0.0,0.9,0.1, hunger,0.0,0.95,0.05, pains,0.05,0.95,0.0
tax liability,DEV,0.1,0.8,0.1, tax,0.0,0.55,0.45, liability,0.0,0.95,0.05
jail sentence,DEV,0.0,0.9,0.1, jail,0.0,0.952380952381,0.047619047619, sentence,0.0,0.15,0.85
air pollution,DEV,0.0,0.961538461538,0.0384615384615, air,0.2,0.0,0.8, pollution,0.0,1.0,0.0
broadcasting wars,DEV,0.047619047619,0.619047619048,0.333333333333, broadcasting,0.1,0.0,0.9, wars,0.0,1.0,0.0
cancer patient,DEV,0.0,0.85,0.15, cancer,0.0,1.0,0.0, patient,0.818181818182,0.0,0.181818181818
capital losses,DEV,0.047619047619,0.952380952381,0.0, capital,0.47619047619,0.0,0.52380952381, losses,0.0,1.0,0.0
crime activities,DEV,0.0,1.0,0.0, crime,0.0,1.0,0.0, activities,0.45,0.0,0.55
crime affairs,DEV,0.0,1.0,0.0, crime,0.0,1.0,0.0, affairs,0.0,0.3,0.7
crime rates,DEV,0.0,0.809523809524,0.190476190476, crime,0.0,1.0,0.0, rates,0.0,0.1,0.9
drought conditions,DEV,0.0,0.95,0.05, drought,0.0,1.0,0.0, conditions,0.15,0.0,0.85
enemy troops,DEV,0.0,0.945945945946,0.0540540540541, enemy,0.0,1.0,0.0, troops,0.25,0.0,0.75
garbage sites,DEV,0.0,0.6,0.4, garbage,0.0,1.0,0.0, sites,0.0,0.0,1.0
gender discrimination,DEV,0.0,1.0,0.0, gender,0.0,0.0,1.0, discrimination,0.0,1.0,0.0
health hazard,DEV,0.0,1.0,0.0, health,0.6,0.0,0.4, hazard,0.0,1.0,0.0
heart attack,DEV,0.0,1.0,0.0, heart,0.75,0.0,0.25, attack,0.0,1.0,0.0
heart disease,DEV,0.0,1.0,0.0, heart,0.75,0.0,0.25, disease,0.0,1.0,0.0
lie detector,DEV,0.238095238095,0.238095238095,0.52380952381, lie,0.0,1.0,0.0, detector,0.142857142857,0.0,0.857142857143
lie detectors,DEV,0.3,0.4,0.3, lie,0.0,1.0,0.0, detectors,0.15,0.05,0.8
lie director,DEV,0.2,0.5,0.3, lie,0.0,1.0,0.0, director,0.1,0.0,0.9
material misstatement,DEV,0.0,0.85,0.15, material,0.0333333333333,0.0333333333333,0.933333333333, misstatement,0.0,1.0,0.0
